videos,espece1_predite,espece2_predite,espece3_predite,espece4_predite,espece1_reelle,espece2_reelle,espece3_reelle,espece4_reelle,bonne_prediction,duree1,duree2,duree3,duree4,duree5
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-13-21-39_balacet_1SITTOR.mp4,SITTOR,MESCHA,NaN,NaN,SITTOR,MESCHA,,,True,5.56,0.84,1.28,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-13-23-31_balacet_1MESCHA_PMRV.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,10.32,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-13-32-21_balacet_1ROUFAM.mp4,ROUGOR,NaN,NaN,NaN,ROUGOR,,,,True,10.68,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-14-02-28_balacet_1MESCHA_MCTN.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,9.96,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-15-13-45_balacet_1MESNON_NMTA.mp4,MESNON,NaN,NaN,NaN,MESNON,,,,True,7.76,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-15-28-39_balacet_1MESNON_1MESCHA.mp4,MESCHA,NaN,NaN,NaN,MESNON,MESCHA,,,False,3.24,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-15-34-24_balacet_1SITTOR.mp4,SITTOR,NaN,NaN,NaN,SITTOR,,,,True,10.72,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-15-35-26_balacet_1SITTOR_1MESCHA.mp4,SITTOR,MESCHA,NaN,NaN,SITTOR,MESCHA,,,True,2.52,0.84,4.08,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-16-21-06_balacet_1ROUFAM.mp4,VEREUR,NaN,NaN,NaN,ROUGOR,,,,False,3.28,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-29-16-32-38_balacet_1MESCHA_MCTN.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,9.24,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-05-48-02_balacet_1SITTOR_1MESCHA_1SITTOR.mp4,MESCHA,MESCHA,NaN,NaN,SITTOR,MESCHA,SITTOR,,False,4.96,4.24,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-06-32-55_balacet_1MESCHA_MCTN.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,12.12,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-06-45-56_balacet_1MESCHA.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,1.88,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-07-14-41_balacet_1SITTOR.mp4,SITTOR,NaN,NaN,NaN,SITTOR,,,,True,14.24,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-07-22-38_balacet_1SITTOR_1MESNON.mp4,SITTOR,MESCHA,NaN,NaN,SITTOR,MESNON,,,False,3.0,3.12,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-08-44-23_balacet_1MESCHA_PMRV_1SITTOR.mp4,MESCHA,NaN,NaN,NaN,MESCHA,SITTOR,,,False,8.12,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-09-21-07_balacet_1SITTOR.mp4,SITTOR,NaN,NaN,NaN,SITTOR,,,,True,9.44,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-11-33-35_balacet_1MESCHA_1MESCHA.mp4,MESCHA,MESCHA,MESCHA,MESCHA,MESCHA,MESCHA,,,True,2.44,3.24,0.84,1.12,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-12-29-36_balacet_1MESCHA_MCTN.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,5.64,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-30-15-16-47_balacet_1SITTOR.mp4,SITTOR,NaN,NaN,NaN,SITTOR,,,,True,12.6,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/balacet/2022-08-31-07-32-42_balacet_1MESCHA_1MESCHA.mp4,MESCHA,MESCHA,NaN,NaN,MESCHA,MESCHA,,,True,6.76,0.8,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-22-09-58-41_C1_1MESCHA.mp4,MESCHA,SITTOR,NaN,NaN,MESCHA,SITTOR,,,True,3.04,10.16,0.52,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-22-09-59-01_C1_1SITTOR.mp4,SITTOR,NaN,NaN,NaN,SITTOR,,,,True,6.84,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-22-10-00-07._C1_1MESCHA_AVEMmp4.mp4,MESCHA,NaN,NaN,NaN,MESCHA,,,,True,2.8,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-22-10-06-02_C1_1MESNON.mp4,MESNON,NaN,NaN,NaN,MESNON,,,,True,7.6,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-22-10-32-44_C1_1SITTOR.mp4,SITTOR,NaN,NaN,NaN,SITTOR,,,,True,9.36,,,,
/home/lucien/Documents/data_ornithoscope/birds_videos/2022/C1/2022-08-22-10-43-20_C1_1MESNON.mp4,MESNON,NaN,NaN,NaN,MESNON,,,,True,9.48,,,,
